都道府県,1981年,1982年,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年
岡山県,0,0,3333.1,3801.8,3899.5,3818.4,4157.4,3943.2,4180.2,4226.8,3983.6,3808.3,4256.8,3784.8,4934.3,4457.4,4945.7,4866.7,4859.9,5324,5366.7,4857.5,4847.4,4530.4,5176.3,4462.8,4934.3,4776.3,4241.3,5171.2,4134.7,5527.2,4638.7,4573,4495.6
広島県,0,0,3727.2,4039.6,3881.3,4078.4,3988.5,3984.7,4060.4,4351.5,4559.6,4733.8,4753.1,4519,4711.5,5022.3,4833.4,5753.1,5583.1,5230.5,5221.7,7156.4,4702,5228.1,5409.4,4887.7,4985,5237.9,4976.8,5351.5,4741.4,4796,4339.2,5212.1,5224
山口県,0,0,4047.2,4329.3,4770.9,4728.3,5293.5,4772.3,4676.7,5250.9,4731.5,4779.7,5689.3,4918.2,4280.5,4792,5059.7,4582.6,5217.4,5382.9,6063.5,4973.8,4719.2,5552,6099.6,5740.8,3916.2,4606.1,5267.8,5373.6,5104.5,4750.5,4825.5,5105.3,5743.7
徳島県,0,0,3639.2,5162.8,5706,3991.4,3106.1,3787.4,5253.3,4532.4,5248.9,4655.7,5776.7,5183,4806.8,4639.2,5285.1,5698.1,5060.7,5553.7,5446.9,6133.2,5451.7,5362.5,4485,4400.5,5530.2,5257.5,4376.4,3931.3,3418.5,4873.2,3893.9,4019.8,6781
香川県,0,0,4028.4,3027.3,3711.2,3419.1,3807,4579.4,3339.5,3668.2,4406.7,4498.5,5350.8,4181.2,4047.1,5895.2,4791.7,5733.3,4617.8,4774.6,5748.1,5423.8,5617.8,5597.8,5199.2,5424.9,6992.7,6580.6,4554.9,6484.5,4864.2,5353.8,5314.5,5330.9,6021.2
愛媛県,0,0,3267.6,3437.1,3159.3,4267.5,3200,3572.7,4716.4,4711.3,4382.4,4739.7,4501.2,3847.2,4405.7,5504.8,5307.5,5353,5506.6,4918.3,4820.6,5511.1,5618.4,5288.1,4611.6,4633.3,5050.4,4281.2,4573.5,4887.1,4736.7,6083.4,4824.3,5242.1,5214.6
高知県,0,0,0,2959.7,3761.7,3718.1,0,3975.5,4164.6,4437.8,4891.5,5244.4,3847.5,3245.7,3948.6,4285.8,4929,5192.5,5125.3,5267.4,5162,4925.4,5456.6,4529.8,4440.8,5280,4445.4,4021.1,3727.4,4363,4181,4894.3,5557.6,5253.2,4656.7
福岡県,0,0,4150.8,4025.8,3854.8,4206,4309,4143.7,4324.9,4365.3,4392.4,4652.6,4563.4,4730.2,4798.8,4387.9,5144.5,5041,4818.5,5421.1,6245,5807.7,5431,5850.8,5262.6,6015.6,4572.3,5069.3,4680.1,4894.7,4768.5,5312.2,4379.3,4780.4,4847.9
佐賀県,0,0,4055.1,3346.6,3078.4,4235.7,3575.7,3553.2,4067.9,3570.9,3981.1,4162.9,5016.6,4942.3,3626.2,4022.5,4583.5,5361.2,5160.3,4543,4469.5,4941.8,4304,4257.2,4876,4782.6,4332.8,5300.5,3970.8,4501.8,4385.8,4717.7,4415,4318,4524.4
長崎県,0,0,2696.7,3516.9,2623.9,3029.4,3558.2,3258.1,3551.4,3778.3,4575,3616.9,5065.5,5026.5,4745.6,4753.7,5938.9,4771.6,4695.1,5439.4,5833.6,4710.6,4737.6,4459.4,5577.7,5498.3,5965.4,5216.1,5527.7,5964.4,5439.4,5319.6,5549.1,5051.8,5054.1
熊本県,0,0,4467.8,2631.1,3541.7,3731,2954,4252.6,4157.2,4704.1,4456.7,3542.1,4018.9,3777.7,5602.2,5233,5891,6475.3,5725.6,5093.2,4100.5,4568.9,5684.9,5971.9,5423.4,4710.6,4202.4,6754.4,4337.1,4817.8,4040.2,5071.9,4831.6,4573.9,5557.2
大分県,0,0,3287.6,4702.5,6334.1,5103.8,4471.1,3907.1,3643.4,4742.6,4620.7,4731,4874,4937.1,4482.8,4251.5,4232.4,4216.5,5719.9,5539,5462.4,4556.9,5661.9,5441.5,5059.7,6381.2,5172.1,4581.5,4112,4154.9,4714.2,5056.7,5132,4540,4910.9
宮崎県,0,0,2983.6,3494.9,4081.7,3604.2,3298.9,3482.8,3504.4,3867.7,4000.1,4115.6,3910.7,3620,3810.5,4096.5,4476.3,5148.2,5160.2,5036.6,5354.7,4524.2,5767.4,4966.7,4601.5,3720,4144.4,3966.7,4776.3,4176.6,4271.5,4456.1,4984.3,4687.4,4833.6
鹿児島県,0,0,2727.3,3459.6,2276,2947.2,2702.4,3391.4,3732.3,3522.6,3255,4112.8,4003.7,3779.8,4601.9,4834,5041.2,5017.4,4906.3,5264.2,5435.3,5433.8,5121,4884.1,5665.3,5498.2,5774.4,5700.2,4839.2,5499.5,5239.9,6373.4,4912.2,4978.9,5402.4
沖縄県,0,0,3534.2,4784.4,4495,3971,3338.7,2738.7,2731.4,4087.2,4307.3,3863.8,3726.1,3511.1,5246.7,4339.9,4570.3,3948.3,4344.2,4538.2,4730.6,4484,4332.3,4433.5,4351.3,4373.3,3951.4,4699.4,4830.5,3660.6,5090.9,3866.7,4579,6057.6,5501.2
