"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00300","集計世帯数【世帯】","2014000000","2014年","190","1,500～2,000万円未満","","210","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","200","2,000万円以上","","123","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2014000000","2014年","210","不明","","833","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","100","合計","","15,599","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","120","200万円未満","","1,973","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","130","200～400万円未満","","4,419","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","140","400～600万円未満","","3,216","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","150","600～800万円未満","","2,400","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","160","800～1,000万円未満","","1,364","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","170","1,000～1,500万円未満","","927","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","190","1,500～2,000万円未満","","234","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","200","2,000万円以上","","109","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2013000000","2013年","210","不明","","957","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","100","合計","","20,418","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","120","200万円未満","","3,146","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","130","200～400万円未満","","6,035","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","140","400～600万円未満","","4,169","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","150","600～800万円未満","","2,946","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","160","800～1,000万円未満","","1,596","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","170","1,000～1,500万円未満","","1,093","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","190","1,500～2,000万円未満","","272","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","200","2,000万円以上","","131","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2012000000","2012年","210","不明","","1,030","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","100","合計","","22,271","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","120","200万円未満","","2,965","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","130","200～400万円未満","","6,152","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","140","400～600万円未満","","4,536","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","150","600～800万円未満","","3,490","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","160","800～1,000万円未満","","1,977","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","170","1,000～1,500万円未満","","1,385","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","190","1,500～2,000万円未満","","332","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","200","2,000万円以上","","182","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2010000000","2010年","210","不明","","1,252","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","100","合計","","4,547","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","120","200万円未満","","309","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","130","200～400万円未満","","1,033","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","140","400～600万円未満","","1,031","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","150","600～800万円未満","","960","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","160","800～1,000万円未満","","562","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","170","1,000～1,500万円未満","","398","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","190","1,500～2,000万円未満","","97","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","200","2,000万円以上","","52","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2009000000","2009年","210","不明","","105","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","100","合計","","4,515","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","120","200万円未満","","320","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","130","200～400万円未満","","900","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","140","400～600万円未満","","1,028","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","150","600～800万円未満","","955","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","160","800～1,000万円未満","","575","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","170","1,000～1,500万円未満","","478","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","190","1,500～2,000万円未満","","106","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","200","2,000万円以上","","57","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2008000000","2008年","210","不明","","96","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","100","合計","","3,640","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","120","200万円未満","","249","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","130","200～400万円未満","","719","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","140","400～600万円未満","","812","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","150","600～800万円未満","","758","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","160","800～1,000万円未満","","484","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","170","1,000～1,500万円未満","","415","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","190","1,500～2,000万円未満","","91","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","200","2,000万円以上","","46","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2007000000","2007年","210","不明","","66","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","100","合計","","4,999","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","120","200万円未満","","444","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","130","200～400万円未満","","1,176","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","140","400～600万円未満","","1,016","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","150","600～800万円未満","","829","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","160","800～1,000万円未満","","592","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","170","1,000～1,500万円未満","","486","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","190","1,500～2,000万円未満","","132","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2006000000","2006年","200","2,000万円以上","","67","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","100","合計","","17,040","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","120","200万円未満","","2,319","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","130","200～400万円未満","","5,074","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","140","400～600万円未満","","3,473","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","150","600～800万円未満","","2,377","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","160","800～1,000万円未満","","1,581","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","170","1,000～1,500万円未満","","1,214","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","190","1,500～2,000万円未満","","296","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2016000000","2016年","200","2,000万円以上","","171","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","100","合計","","14,765","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","120","200万円未満","","1,760","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","130","200～400万円未満","","4,136","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","140","400～600万円未満","","3,360","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","150","600～800万円未満","","2,424","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","160","800～1,000万円未満","","1,289","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","170","1,000～1,500万円未満","","1,014","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","190","1,500～2,000万円未満","","240","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2015000000","2015年","200","2,000万円以上","","105","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","100","合計","","16,529","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","120","200万円未満","","2,253","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","130","200～400万円未満","","4,771","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","140","400～600万円未満","","3,525","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","150","600～800万円未満","","2,518","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","160","800～1,000万円未満","","1,418","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","170","1,000～1,500万円未満","","1,008","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","190","1,500～2,000万円未満","","214","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","200","2,000万円以上","","161","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2014000000","2014年","210","不明","","660","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","100","合計","","15,599","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","120","200万円未満","","1,707","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","130","200～400万円未満","","4,144","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","140","400～600万円未満","","3,430","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","150","600～800万円未満","","2,551","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","160","800～1,000万円未満","","1,502","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","170","1,000～1,500万円未満","","989","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","190","1,500～2,000万円未満","","281","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","200","2,000万円以上","","127","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2013000000","2013年","210","不明","","867","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","100","合計","","20,418","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","120","200万円未満","","2,736","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","130","200～400万円未満","","5,973","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","140","400～600万円未満","","4,536","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","150","600～800万円未満","","2,989","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","160","800～1,000万円未満","","1,616","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","170","1,000～1,500万円未満","","1,192","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","190","1,500～2,000万円未満","","317","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","200","2,000万円以上","","173","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2012000000","2012年","210","不明","","885","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","100","合計","","22,271","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","120","200万円未満","","2,476","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","130","200～400万円未満","","5,879","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","140","400～600万円未満","","4,893","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","150","600～800万円未満","","3,696","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","160","800～1,000万円未満","","2,096","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","170","1,000～1,500万円未満","","1,492","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","190","1,500～2,000万円未満","","385","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","200","2,000万円以上","","269","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2010000000","2010年","210","不明","","1,086","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","100","合計","","4,547","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","120","200万円未満","","378","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","130","200～400万円未満","","1,129","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","140","400～600万円未満","","996","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","150","600～800万円未満","","840","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","160","800～1,000万円未満","","552","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","170","1,000～1,500万円未満","","371","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","190","1,500～2,000万円未満","","92","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","200","2,000万円以上","","65","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2009000000","2009年","210","不明","","123","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","100","合計","","4,515","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","120","200万円未満","","378","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","130","200～400万円未満","","950","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","140","400～600万円未満","","996","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","150","600～800万円未満","","913","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","160","800～1,000万円未満","","557","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","170","1,000～1,500万円未満","","466","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","190","1,500～2,000万円未満","","96","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","200","2,000万円以上","","57","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2008000000","2008年","210","不明","","102","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","100","合計","","3,640","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","120","200万円未満","","259","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","130","200～400万円未満","","751","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","140","400～600万円未満","","817","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","150","600～800万円未満","","755","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","160","800～1,000万円未満","","423","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","170","1,000～1,500万円未満","","376","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","190","1,500～2,000万円未満","","88","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","200","2,000万円以上","","103","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2007000000","2007年","210","不明","","68","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","100","合計","","4,999","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","120","200万円未満","","573","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","130","200～400万円未満","","1,255","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","140","400～600万円未満","","1,021","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","150","600～800万円未満","","766","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","160","800～1,000万円未満","","535","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","170","1,000～1,500万円未満","","412","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","190","1,500～2,000万円未満","","111","***","***","***","***","***","***","***","***","***"
"00400","比重調整後集計世帯数【世帯】","2006000000","2006年","200","2,000万円以上","","55","***","***","***","***","***","***","***","***","***"
